Review No,Review Date,Positive Sentiment Score,Negative Sentiment Score
0,29 November 2018,0.3413797099076012,0.6586202900923988
1,12 November 2018,0.44724474445695467,0.5527552555430453
2,9 November 2018,0.16230758869723558,0.8376924113027644
3,27 October 2018,0.672576127605242,0.327423872394758
4,7 November 2018,0.3549142529917019,0.6450857470082981
5,25 September 2018,0.27693232472145113,0.7230676752785489
6,25 September 2018,0.804664884116628,0.19533511588337205
7,25 September 2018,0.8611497563045466,0.1388502436954534
8,25 September 2018,0.5886085219788358,0.41139147802116416
9,9 October 2018,0.08053746469557628,0.9194625353044237
10,22 October 2018,0.006856153820526749,0.9931438461794733
11,27 September 2018,0.007020430520826352,0.9929795694791737
12,27 November 2018,0.1596411022678477,0.8403588977321523
13,20 November 2018,0.48099579156575767,0.5190042084342423
14,14 November 2018,0.6269770401866731,0.3730229598133269
15,25 October 2018,0.10829477538402577,0.8917052246159742
16,12 October 2018,0.5387920122463967,0.4612079877536033
17,13 October 2018,0.2969439061012333,0.7030560938987667
18,25 September 2018,0.22129703909874018,0.7787029609012598
19,5 November 2018,0.0375895791845696,0.9624104208154304
20,26 September 2018,0.5049998189349417,0.4950001810650583
21,3 October 2018,0.7486662619388865,0.2513337380611135
22,28 September 2018,0.33467723862867105,0.665322761371329
23,25 September 2018,0.6667409085909494,0.33325909140905063
24,25 September 2018,0.7460817484673086,0.25391825153269143
